MSV Wrap Log — 336 files wrapped, 124 skipped
======================================================================

── WRAPPED ─────────────────────────────────────────────────────
WRAPPED: 404.html  |  title='404 | My Spanish Visa'
WRAPPED: nlv-mistakes.html  |  title='Nlv Mistakes | My Spanish Visa'
WRAPPED: nlv-passive-income.html  |  title='Nlv Passive Income | My Spanish Visa'
WRAPPED: nlv-pension-income.html  |  title='Nlv Pension Income | My Spanish Visa'
WRAPPED: nlv-pillar-page.html  |  title='Nlv Pillar Page | My Spanish Visa'
WRAPPED: nlv-rejected.html  |  title='Nlv Rejected | My Spanish Visa'
WRAPPED: nlv-renewal-documents.html  |  title='Nlv Renewal Documents | My Spanish Visa'
WRAPPED: nlv-renewal-health-insurance.html  |  title='Nlv Renewal Health Insurance | My Spanish Visa'
WRAPPED: nlv-renewal-income-requirements.html  |  title='Nlv Renewal Income Requirements | My Spanish Visa'
WRAPPED: nlv-renewal-requirements.html  |  title='Nlv Renewal Requirements | My Spanish Visa'
WRAPPED: nlv-renewal-timeline.html  |  title='Nlv Renewal Timeline | My Spanish Visa'
WRAPPED: nlv-renewal.html  |  title='Nlv Renewal | My Spanish Visa'
WRAPPED: nlv-rental-income.html  |  title='Nlv Rental Income | My Spanish Visa'
WRAPPED: nlv-requirements.html  |  title='Nlv Requirements | My Spanish Visa'
WRAPPED: nlv-residency-citizenship-pathway.html  |  title='Nlv Residency Citizenship Pathway | My Spanish Visa'
WRAPPED: nlv-savings-requirements.html  |  title='Nlv Savings Requirements | My Spanish Visa'
WRAPPED: nlv-south-africa.html  |  title='Nlv South Africa | My Spanish Visa'
WRAPPED: nlv-spouse.html  |  title='Nlv Spouse | My Spanish Visa'
WRAPPED: nlv-tax-spain.html  |  title='Nlv Tax Spain | My Spanish Visa'
WRAPPED: nlv-timeline.html  |  title='Nlv Timeline | My Spanish Visa'
WRAPPED: nlv-uk.html  |  title='Nlv Uk | My Spanish Visa'
WRAPPED: no-copay-health-insurance-nlv.html  |  title='No Copay Health Insurance Nlv | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-chicago.html  |  title='Non Lucrative Visa Spain Chicago | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-london.html  |  title='Non Lucrative Visa Spain London | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-los-angeles.html  |  title='Non Lucrative Visa Spain Los Angeles | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-manchester.html  |  title='Non Lucrative Visa Spain Manchester | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-miami.html  |  title='Non Lucrative Visa Spain Miami | My Spanish Visa'
WRAPPED: non-lucrative-visa-spain-new-york.html  |  title='Non Lucrative Visa Spain New York | My Spanish Visa'
WRAPPED: non-lucrative-visa-to-spanish-citizenship.html  |  title='Non Lucrative Visa To Spanish Citizenship | My Spanish Visa'
WRAPPED: padron-registration-spain.html  |  title='Padron Registration Spain | My Spanish Visa'
WRAPPED: permanent-residency-after-nlv.html  |  title='Permanent Residency After Nlv | My Spanish Visa'
WRAPPED: permanent-residency-spain.html  |  title='Permanent Residency Spain | My Spanish Visa'
WRAPPED: privacy-policy.html  |  title='Privacy Policy | My Spanish Visa'
WRAPPED: retire-to-spain-from-australia.html  |  title='Retire To Spain From Australia | My Spanish Visa'
WRAPPED: retire-to-spain-from-canada.html  |  title='Retire To Spain From Canada | My Spanish Visa'
WRAPPED: retire-to-spain-from-ireland.html  |  title='Retire To Spain From Ireland | My Spanish Visa'
WRAPPED: retire-to-spain-from-south-africa.html  |  title='Retire To Spain From South Africa | My Spanish Visa'
WRAPPED: retire-to-spain-from-uk.html  |  title='Retire To Spain From Uk | My Spanish Visa'
WRAPPED: retire-to-spain-from-usa.html  |  title='Retire To Spain From Usa | My Spanish Visa'
WRAPPED: services.html  |  title='Services | My Spanish Visa'
WRAPPED: spain-digital-nomad-visa-income-calculator.html  |  title='Spain Digital Nomad Visa Income Calculator | My Spanish Visa'
WRAPPED: spain-digital-nomad-visa-uk.html  |  title='Spain Digital Nomad Visa Uk | My Spanish Visa'
WRAPPED: spain-digital-nomad-visa-us-citizens.html  |  title='Spain Digital Nomad Visa Us Citizens | My Spanish Visa'
WRAPPED: spain-non-lucrative-visa-income-calculator.html  |  title='Spain Non Lucrative Visa Income Calculator | My Spanish Visa'
WRAPPED: spain-non-lucrative-visa-uk.html  |  title='Spain Non Lucrative Visa Uk | My Spanish Visa'
WRAPPED: spain-non-lucrative-visa-us-citizens.html  |  title='Spain Non Lucrative Visa Us Citizens | My Spanish Visa'
WRAPPED: spain-residence-permit.html  |  title='Spain Residence Permit | My Spanish Visa'
WRAPPED: spain-retirement-visa-americans.html  |  title='Spain Retirement Visa Americans | My Spanish Visa'
WRAPPED: spain-retirement-visa-australia.html  |  title='Spain Retirement Visa Australia | My Spanish Visa'
WRAPPED: spain-retirement-visa-canada.html  |  title='Spain Retirement Visa Canada | My Spanish Visa'
WRAPPED: spain-retirement-visa-ireland.html  |  title='Spain Retirement Visa Ireland | My Spanish Visa'
WRAPPED: spain-retirement-visa-south-africa.html  |  title='Spain Retirement Visa South Africa | My Spanish Visa'
WRAPPED: spain-retirement-visa-uk.html  |  title='Spain Retirement Visa Uk | My Spanish Visa'
WRAPPED: spain-student-visa-uk.html  |  title='Spain Student Visa Uk | My Spanish Visa'
WRAPPED: spain-student-visa-us-citizens.html  |  title='Spain Student Visa Us Citizens | My Spanish Visa'
WRAPPED: spain-tax-calculator.html  |  title='Spain Tax Calculator | My Spanish Visa'
WRAPPED: spain-visa-options.html  |  title='Spain Visa Options | My Spanish Visa'
WRAPPED: spanish-citizenship-requirements.html  |  title='Spanish Citizenship Requirements | My Spanish Visa'
WRAPPED: spanish-residency-renewal.html  |  title='Spanish Residency Renewal | My Spanish Visa'
WRAPPED: student-visa-pillar-page.html  |  title='Student Visa Pillar Page | My Spanish Visa'
WRAPPED: student-visa-spain-by-nationality.html  |  title='Student Visa Spain By Nationality | My Spanish Visa'
WRAPPED: student-visa-spain-cost.html  |  title='Student Visa Spain Cost | My Spanish Visa'
WRAPPED: student-visa-spain-documents.html  |  title='Student Visa Spain Documents | My Spanish Visa'
WRAPPED: student-visa-spain-extension.html  |  title='Student Visa Spain Extension | My Spanish Visa'
WRAPPED: student-visa-spain-family-dependants.html  |  title='Student Visa Spain Family Dependants | My Spanish Visa'
WRAPPED: student-visa-spain-financial-requirements.html  |  title='Student Visa Spain Financial Requirements | My Spanish Visa'
WRAPPED: student-visa-spain-health-insurance.html  |  title='Student Visa Spain Health Insurance | My Spanish Visa'
WRAPPED: student-visa-spain-india.html  |  title='Spain Student Visa for Indian Students 2026 — How to Apply from India | My Spanish Visa'
WRAPPED: student-visa-spain-language-school.html  |  title='Student Visa Spain Language School | My Spanish Visa'
WRAPPED: student-visa-spain-nie.html  |  title='Student Visa Spain Nie | My Spanish Visa'
WRAPPED: student-visa-spain-processing-time.html  |  title='Student Visa Spain Processing Time | My Spanish Visa'
WRAPPED: student-visa-spain-rejection.html  |  title='Student Visa Spain Rejection | My Spanish Visa'
WRAPPED: student-visa-spain-renewal.html  |  title='Student Visa Spain Renewal | My Spanish Visa'
WRAPPED: student-visa-spain-requirements.html  |  title='Student Visa Spain Requirements | My Spanish Visa'
WRAPPED: student-visa-spain-tie-card.html  |  title='Student Visa Spain Tie Card | My Spanish Visa'
WRAPPED: student-visa-spain-university.html  |  title='Student Visa Spain University | My Spanish Visa'
WRAPPED: student-visa-spain-usa.html  |  title='Student Visa Spain Usa | My Spanish Visa'
WRAPPED: student-visa-spain-vs-other-visas.html  |  title='Student Visa Spain Vs Other Visas | My Spanish Visa'
WRAPPED: student-visa-spain-work-rights.html  |  title='Student Visa Spain Work Rights | My Spanish Visa'
WRAPPED: student-visa-to-residency-spain.html  |  title='Student Visa To Residency Spain | My Spanish Visa'
WRAPPED: student-visa-to-work-permit-spain.html  |  title='Student Visa To Work Permit Spain | My Spanish Visa'
WRAPPED: study-in-spain.html  |  title='Study In Spain | My Spanish Visa'
WRAPPED: study-spanish-in-spain.html  |  title='Study Spanish In Spain | My Spanish Visa'
WRAPPED: terms.html  |  title='Terms | My Spanish Visa'
WRAPPED: thank-you-consultation.html  |  title='Thank You Consultation | My Spanish Visa'
WRAPPED: thank-you-download.html  |  title='Thank You Download | My Spanish Visa'
WRAPPED: thank-you-eligibility-check.html  |  title='Thank You Eligibility Check | My Spanish Visa'
WRAPPED: tie-card-spain.html  |  title='Tie Card Spain | My Spanish Visa'
WRAPPED: travel-during-nlv-renewal.html  |  title='Travel During Nlv Renewal | My Spanish Visa'
WRAPPED: travel-insurance-nlv-spain.html  |  title='Travel Insurance Nlv Spain | My Spanish Visa'
WRAPPED: visa-eligibility-quiz.html  |  title='Visa Eligibility Quiz | My Spanish Visa'

── SKIPPED ─────────────────────────────────────────────────────
SKIP (has DOCTYPE): MSV_AboutUs_SEO_Schema.html
SKIP (has DOCTYPE): MSV_ContactUs_SEO_Schema.html
SKIP (has DOCTYPE): MSV_MoveToSpain_SEO_Schema.html
SKIP (has DOCTYPE): MSV_SpainVisaOptions_SEO_Schema.html
SKIP (has DOCTYPE): MSV_TIE_Guides_SEO.html
SKIP (underscore): _template.html
SKIP (has DOCTYPE): best-visa-move-to-spain.html
SKIP (has DOCTYPE): blog-axa-spain-health-insurance-visa.html
SKIP (has DOCTYPE): blog-beckham-law-spain-how-to-apply.html
SKIP (has DOCTYPE): blog-best-visa-spain-remote-workers.html
SKIP (has DOCTYPE): blog-birth-certificate-spain-visa.html
SKIP (has DOCTYPE): blog-can-i-bring-family-spain-visa.html
SKIP (has DOCTYPE): blog-canary-islands-expat-visa-guide.html
SKIP (has DOCTYPE): blog-category-bureaucracy.html
SKIP (has DOCTYPE): blog-category-comparison.html
SKIP (has DOCTYPE): blog-category-digital-nomad-visa.html
SKIP (has DOCTYPE): blog-category-documents.html
SKIP (has DOCTYPE): blog-category-faq.html
SKIP (has DOCTYPE): blog-category-health-insurance.html
SKIP (has DOCTYPE): blog-category-life-in-spain.html
SKIP (has DOCTYPE): blog-category-locations.html
SKIP (has DOCTYPE): blog-category-nationality.html
SKIP (has DOCTYPE): blog-category-non-lucrative-visa.html
SKIP (has DOCTYPE): blog-category-post-arrival.html
SKIP (has DOCTYPE): blog-category-property.html
SKIP (has DOCTYPE): blog-category-rejection.html
SKIP (has DOCTYPE): blog-category-renewal.html
SKIP (has DOCTYPE): blog-category-residency.html
SKIP (has DOCTYPE): blog-category-student-visa.html
SKIP (has DOCTYPE): blog-category-tax.html
SKIP (has DOCTYPE): blog-certified-documents-spain-visa.html
SKIP (has DOCTYPE): blog-changing-visa-type-spain.html
SKIP (has DOCTYPE): blog-cigna-allianz-health-insurance-spain.html
SKIP (has DOCTYPE): blog-eu-long-term-residency-spain.html
SKIP (has DOCTYPE): blog-family-health-insurance-spain.html
SKIP (has DOCTYPE): blog-financial-proof-spain-visa-guide.html
SKIP (has DOCTYPE): blog-finding-expat-community-spain.html
SKIP (has DOCTYPE): blog-foreigner-mortgage-spain-guide.html
SKIP (has DOCTYPE): blog-health-insurance-spain-cost-guide.html
SKIP (has DOCTYPE): blog-health-insurance-spain-for-retirees.html
SKIP (has DOCTYPE): blog-health-insurance-spain-pre-existing-conditions.html
SKIP (has DOCTYPE): blog-health-insurance-spain-when-to-apply.html
SKIP (has DOCTYPE): blog-healthcare-registration-spain-expats.html
SKIP (has DOCTYPE): blog-how-long-does-spain-visa-take.html
SKIP (has DOCTYPE): blog-index.html
SKIP (has DOCTYPE): blog-living-in-alicante-expat-guide.html
SKIP (has DOCTYPE): blog-living-in-andalusia-expat-guide.html
SKIP (has DOCTYPE): blog-living-in-bilbao-expat-guide.html
SKIP (has DOCTYPE): blog-living-in-costa-del-sol-expat-guide.html
SKIP (has DOCTYPE): blog-mallorca-expat-guide.html
SKIP (has DOCTYPE): blog-marriage-certificate-spain-visa.html
SKIP (has DOCTYPE): blog-moving-to-granada-expat-guide.html
SKIP (has DOCTYPE): blog-nlv-renewal-documents-checklist-2026.html
SKIP (has DOCTYPE): blog-nlv-vs-digital-nomad-visa-2026.html
SKIP (has DOCTYPE): blog-nlv-vs-student-visa-spain.html
SKIP (has DOCTYPE): blog-opening-spanish-bank-account-guide.html
SKIP (has DOCTYPE): blog-pets-moving-to-spain-requirements.html
SKIP (has DOCTYPE): blog-proof-of-address-spain-visa.html
SKIP (has DOCTYPE): blog-public-vs-private-healthcare-spain-comparison.html
SKIP (has DOCTYPE): blog-registering-car-spain-foreigner.html
SKIP (has DOCTYPE): blog-renewal-while-outside-spain.html
SKIP (has DOCTYPE): blog-renting-in-spain-first-apartment.html
SKIP (has DOCTYPE): blog-retirement-visa-spain-options-compared.html
SKIP (has DOCTYPE): blog-sanitas-health-insurance-spain-review.html
SKIP (has DOCTYPE): blog-spain-foreigner-registration-certificate.html
SKIP (has DOCTYPE): blog-spain-income-tax-return-expats-guide.html
SKIP (has DOCTYPE): blog-spain-long-term-rental-vs-buying.html
SKIP (has DOCTYPE): blog-spain-long-term-residency-renewal.html
SKIP (has DOCTYPE): blog-spain-medical-certificate-requirements.html
SKIP (has DOCTYPE): blog-spain-mobile-phone-sim-expat.html
SKIP (has DOCTYPE): blog-spain-nlv-vs-golden-visa.html
SKIP (has DOCTYPE): blog-spain-property-taxes-buyer-guide.html
SKIP (has DOCTYPE): blog-spain-rental-contracts-explained.html
SKIP (has DOCTYPE): blog-spain-utilities-setup-guide.html
SKIP (has DOCTYPE): blog-spain-visa-costs-fees-2026.html
SKIP (has DOCTYPE): blog-spain-visa-early-renewal-guide.html
SKIP (has DOCTYPE): blog-spain-visa-interview-what-to-expect.html
SKIP (has DOCTYPE): blog-spain-visa-photos-requirements.html
SKIP (has DOCTYPE): blog-spain-visa-renewal-denied-what-to-do.html
SKIP (has DOCTYPE): blog-spain-visa-renewal-health-insurance.html
SKIP (has DOCTYPE): blog-spain-visa-renewal-income-requirements.html
SKIP (has DOCTYPE): blog-spain-visa-renewal-timeline-guide.html
SKIP (has DOCTYPE): blog-spain-vs-italy-expat-comparison.html
SKIP (has DOCTYPE): blog-spanish-citizenship-naturalisation-guide.html
SKIP (has DOCTYPE): blog-spanish-social-security-number-guide.html
SKIP (has DOCTYPE): blog-student-visa-renewal-spain-guide.html
SKIP (has DOCTYPE): blog-switching-health-insurance-spain.html
SKIP (has DOCTYPE): blog-tie-card-renewal-complete-guide.html
SKIP (has DOCTYPE): blog-what-happens-if-spain-visa-not-renewed.html
SKIP (has DOCTYPE): case-studies.html
SKIP (has DOCTYPE): dnv-apply-in-spain.html
SKIP (has DOCTYPE): dnv-checklist-download.html
SKIP (has DOCTYPE): dnv-checklist-printable.html
SKIP (has DOCTYPE): dnv-cost.html
SKIP (has DOCTYPE): dnv-documents.html
SKIP (has DOCTYPE): dnv-eligibility.html
SKIP (has DOCTYPE): dnv-family.html
SKIP (has DOCTYPE): dnv-faq.html
SKIP (has DOCTYPE): dnv-freelancer.html
SKIP (has DOCTYPE): dnv-health-insurance.html
SKIP (has DOCTYPE): dnv-income-requirements.html
SKIP (has DOCTYPE): dnv-london.html
SKIP (has DOCTYPE): dnv-pillar-page.html
SKIP (has DOCTYPE): dnv-processing-time.html
SKIP (has DOCTYPE): dnv-rejection.html
SKIP (has DOCTYPE): dnv-renewal.html
SKIP (has DOCTYPE): dnv-requirements.html
SKIP (has DOCTYPE): dnv-self-employed.html
SKIP (has DOCTYPE): dnv-spouse.html
SKIP (has DOCTYPE): dnv-tax-spain.html
SKIP (has DOCTYPE): dnv-vs-nlv.html
SKIP (has DOCTYPE): nlv-checklist-download.html
SKIP (has DOCTYPE): nlv-checklist-printable.html
SKIP (has DOCTYPE): post-arrival-checklist-download.html
SKIP (has DOCTYPE): post-arrival-checklist-printable.html
SKIP (has DOCTYPE): spain-visa-decision-guide-printable.html
SKIP (has DOCTYPE): spain-visa-guide-download.html
SKIP (has DOCTYPE): student-visa-spain-australia.html
SKIP (has DOCTYPE): student-visa-spain-canada.html
SKIP (has DOCTYPE): student-visa-spain-ireland.html
SKIP (has DOCTYPE): student-visa-spain-south-africa.html
SKIP (has DOCTYPE): student-visa-spain-uk.html
SKIP (has DOCTYPE): testimonials.html
SKIP (has DOCTYPE): why-choose-us.html
